Code,Description
0,Not Available
1,Reserved
2,Reserved
3,Special Category
4,Special Category
5,Special Category
6,Special Category
7,Special Category
8,Special Category
9,Special Category
10,Reserved for future use
11,Reserved for future use
12,Reserved for future use
13,Reserved for future use
14,Reserved for future use
15,Reserved for future use
16,Reserved for future use
17,Reserved for future use
18,Reserved for future use
19,Reserved for future use
20,Wing in ground (WIG) all ships of this type
21,WIG - Hazardous category A
22,WIG - Hazardous category B
23,WIG - Hazardous category C
24,WIG - Hazardous category D
25,WIG - Reserved for future use
26,WIG - Reserved for future use
27,WIG - Reserved for future use
28,WIG - Reserved for future use
29,WIG - No additional information
30,Fishing
31,Towing
32,Towing: length exceeds 200m or breadth exceeds 25m
33,Dredging or underwater ops
34,Diving ops
35,Military ops
36,Sailing
37,Pleasure Craft
38,Reserved
39,Not available
40,High-speed craft (HSC) all ships of this type
41,HSC - Hazardous category A
42,HSC - Hazardous category B
43,HSC - Hazardous category C
44,HSC - Hazardous category D
45,HSC - Reserved for future use
46,HSC - Reserved for future use
47,HSC - Reserved for future use
48,HSC - Reserved for future use
49,HSC - No additional information
50,Pilot Vessel
51,Search and Rescue vessel
52,Tug
53,Port Tender
54,Anti-pollution equipment
55,Law Enforcement
56,Spare - Local Vessel
57,Spare - Local Vessel
58,Medical Transport
59,Noncombatant ship according to RR Resolution No. 18
60,Passenger all ships of this type
61,Passenger - Hazardous category A
62,Passenger - Hazardous category B
63,Passenger - Hazardous category C
64,Passenger - Hazardous category D
65,Passenger - Reserved for future use
66,Passenger - Reserved for future use
67,Passenger - Reserved for future use
68,Passenger - Reserved for future use
69,Passenger - No additional information
70,Cargo all ships of this type
71,Cargo - Hazardous category A
72,Cargo - Hazardous category B
73,Cargo - Hazardous category C
74,Cargo - Hazardous category D
75,Cargo - Reserved for future use
76,Cargo - Reserved for future use
77,Cargo - Reserved for future use
78,Cargo - Reserved for future use
79,Cargo - No additional information
80,Tanker all ships of this type
81,Tanker - Hazardous category A
82,Tanker - Hazardous category B
83,Tanker - Hazardous category C
84,Tanker - Hazardous category D
85,Tanker - Reserved for future use
86,Tanker - Reserved for future use
87,Tanker - Reserved for future use
88,Tanker - Reserved for future use
89,Tanker - No additional information
90,Other type all ships of this type
91,Other - Hazardous category A
92,Other - Hazardous category B
93,Other - Hazardous category C
94,Other - Hazardous category D
95,Other - Reserved for future use
96,Other - Reserved for future use
97,Other - Reserved for future use
98,Other - Reserved for future use
99,Other - No additional information
